,ZIP,Q8_3,Q3_8,Q8_4,Q8_10
0,92037,2.2413793103448274,2.2758620689655173,2.4310344827586206,2.3392857142857144
1,92101,2.7439024390243905,2.617283950617284,3.037037037037037,3.025
2,92102,2.5064935064935066,2.41025641025641,2.4615384615384617,2.8974358974358974
3,92103,2.3846153846153846,2.3076923076923075,2.6346153846153846,2.2941176470588234
4,92104,2.36046511627907,2.235294117647059,2.5348837209302326,2.4705882352941178
5,92105,2.3070866141732282,2.2992125984251968,2.4488188976377954,2.3089430894308944
6,92106,2.129032258064516,2.15625,2.3225806451612905,2.4516129032258065
7,92107,2.4909090909090907,2.30188679245283,2.6481481481481484,2.62
8,92108,3.0,3.3043478260869565,3.652173913043478,2.8260869565217392
9,92109,1.898876404494382,1.8735632183908046,1.9213483146067416,2.2857142857142856
10,92110,2.0384615384615383,2.2745098039215685,2.6153846153846154,2.2448979591836733
11,92111,2.0425531914893615,2.2093023255813953,2.0618556701030926,2.4086021505376345
12,92113,2.6444444444444444,2.586206896551724,2.438202247191011,2.5730337078651684
13,92114,2.5826771653543306,2.4285714285714284,2.4173228346456694,2.5196850393700787
14,92115,2.3313253012048194,2.2590361445783134,2.6,2.4753086419753085
15,92116,1.9508196721311475,1.859375,2.125,2.262295081967213
16,92117,2.330357142857143,2.3603603603603602,2.357142857142857,2.4732142857142856
17,92119,2.25,2.0833333333333335,2.4833333333333334,2.4482758620689653
18,92120,2.264705882352941,2.283582089552239,2.5588235294117645,2.4328358208955225
19,92122,2.5775862068965516,2.5641025641025643,3.051282051282051,2.773913043478261
20,92123,2.3658536585365852,2.292682926829268,2.8048780487804876,2.5609756097560976
21,92124,2.875,2.7037037037037037,3.2857142857142856,3.0555555555555554
22,92126,2.6206896551724137,2.433628318584071,2.6724137931034484,2.5789473684210527
23,92127,2.914285714285714,2.8055555555555554,3.0,3.176470588235294
24,92128,2.159090909090909,2.1931818181818183,2.218390804597701,2.397727272727273
25,92129,2.878504672897196,2.8,3.2429906542056073,2.9626168224299065
26,92130,2.8674698795180724,2.9176470588235293,3.674698795180723,3.2588235294117647
27,92131,2.4285714285714284,2.426470588235294,3.142857142857143,2.6666666666666665
28,92139,2.2,2.2777777777777777,2.263157894736842,2.026315789473684
29,92154,2.565891472868217,2.5511811023622046,2.7109375,2.5793650793650795
